date,aqi,pm25,pm10,co,o3,no2,so2,temperature,humidity,holiday,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,new_confirmed
2020-02-25,67.33333333333333,34.0,12.0,3.7,10.2,7.4,0.6,25.2,82.0,1,-34.0,-25.0,17.0,-46.0,-66.0,14.0,1
2020-02-26,50.0,25.0,10.0,4.6,5.3,11.5,1.6,22.0,95.0,1,-23.0,-7.0,-39.0,-19.0,-15.0,7.0,0
2020-02-27,42.0,21.0,10.0,2.8,12.6,8.7,0.6,17.7,92.0,1,-6.0,9.0,-12.0,5.0,10.0,1.0,0
2020-02-28,50.0,25.0,16.0,2.8,8.6,11.0,1.1,18.3,84.3,1,-2.0,7.0,-7.0,7.0,14.0,0.0,1
2020-02-29,59.166666666666664,30.0,10.0,3.7,9.0,8.7,0.6,20.0,92.5,1,7.0,13.0,13.0,6.0,6.0,2.0,0
2020-03-01,34.0,17.0,6.0,2.8,13.0,4.2,0.6,18.8,89.5,1,0.0,11.0,14.0,-2.0,0.0,4.0,0
2020-03-02,50.0,25.0,10.0,2.8,11.8,7.8,0.6,20.2,85.2,0,-4.0,1.0,-18.0,10.0,15.0,-1.0,0
2020-03-03,42.0,21.0,9.0,3.7,11.0,9.2,0.6,18.1,89.5,0,-3.0,4.0,-11.0,8.0,12.0,-1.0,0
2020-03-04,67.33333333333333,34.0,15.0,2.8,9.4,10.1,1.1,23.4,69.5,0,-1.0,5.0,-2.0,10.0,14.0,-2.0,1
2020-03-05,67.33333333333333,34.0,17.0,2.8,8.6,9.6,0.6,19.4,75.5,0,5.0,12.0,9.0,14.0,15.0,-2.0,3
2020-03-06,75.5,38.0,20.0,2.8,11.4,9.2,1.1,19.6,72.8,0,10.0,15.0,24.0,17.0,19.0,-3.0,0
2020-03-07,83.66666666666666,42.0,20.0,2.8,14.3,7.4,1.1,20.5,71.5,0,16.0,20.0,19.0,16.0,8.0,-1.0,6
2020-03-08,83.66666666666666,42.0,18.0,2.8,12.6,7.8,1.1,19.5,81.0,0,6.0,13.0,26.0,6.0,2.0,1.0,3
2020-03-09,100.0,50.0,20.0,2.8,15.5,11.5,1.6,22.2,75.5,0,3.0,9.0,2.0,14.0,16.0,-2.0,0
2020-03-10,109.16666666666667,55.0,24.0,2.8,19.1,11.5,1.1,22.5,76.0,0,3.0,6.0,-1.0,11.0,15.0,-2.0,3
2020-03-11,113.25,57.0,27.0,2.8,18.3,11.0,1.1,21.6,79.6,0,2.0,6.0,6.0,12.0,14.0,-2.0,11
2020-03-12,113.25,57.0,27.0,2.8,17.1,12.8,1.1,21.8,81.0,0,3.0,12.0,10.0,13.0,14.0,-2.0,15
